1700570900.1596477,108,11.21
1700570900.9730837,331544,3.26
1700570900.9732676,104,3.26
1700570901.0914526,49006,3.27
1700570901.0915558,104,3.27
1700570901.0916252,5463,3.32
1700570901.0916653,104,3.32
1700570901.0917146,3428,3.35
1700570901.0917504,104,3.35
1700570901.1057527,5474,3.34
1700570901.105845,104,3.34
1700570901.256412,64967,3.36
1700570901.256502,104,3.36
1700570901.2850654,13713,3.37
1700570901.285153,104,3.37
1700570901.3125134,7713,3.35
1700570901.3125982,104,3.35
1700570901.3448772,8081,3.31
1700570901.3449576,104,3.31
1700570901.549238,64534,3.19
1700570901.5493212,104,3.20
1700570901.5694768,14263,3.23
1700570901.5707028,104,3.23
1700570901.5910265,8864,3.23
1700570901.5911107,104,3.23
1700570901.6101081,8466,3.24
1700570901.6101975,104,3.24
1700570901.770307,55922,3.19
1700570901.7703936,104,3.19
1700570901.7846138,12889,3.23
1700570901.7847052,104,3.23
1700570901.8133638,7668,3.21
1700570901.8134468,104,3.21
1700570901.8276663,7595,3.22
1700570901.827754,104,3.22
1700570901.985487,56487,3.19
1700570901.985572,104,3.19
1700570901.9890149,11484,3.23
1700570901.9891026,104,3.23
1700570902.0164995,7434,3.22
1700570902.0165854,104,3.22
1700570902.021269,6768,3.24
1700570902.0224903,104,3.24
1700570902.1455734,52663,3.25
1700570902.1456578,104,3.25
1700570902.168286,11263,3.26
1700570902.1683705,104,3.26
1700570902.1730635,6393,3.28
1700570902.1731472,104,3.28
1700570902.1933854,6435,3.27
1700570902.1934714,104,3.27
1700570902.29856,49878,3.30
1700570902.2986577,104,3.30
1700570902.3212872,9385,3.30
1700570902.3213713,104,3.30
1700570902.3260787,6126,3.31
1700570902.3261628,104,3.31
1700570902.3451695,5512,3.30
1700570902.3452501,104,3.30
1700570902.4634814,48744,3.30
1700570902.4647114,104,3.30
1700570902.5017378,8921,3.28
1700570902.5018227,104,3.28
1700570902.5029938,5804,3.30
1700570902.5030746,104,3.30
1700570902.5344064,5408,3.27
